State,Abbrev,Count,Population
Alabama,AL,129,4874747
Alaska,AK,35,739795
American Samoa,AS,1,51504
Arizona ,AZ,155,7016270
Arkansas,AR,108,3004279
California,CA,1246,39536653
Colorado,CO,171,5607154
Connecticut,CT,114,3588184
Delaware,DE,23,961939
District of Columbia,DC,33,693972
Federated States of Micronesia,FM,4,
Florida,FL,439,20984400
Georgia,GA,210,10429379
Guam,GU,2,167358
Hawaii,HI,43,1427538
Idaho,ID,33,1716943
Illinois,IL,391,12802023
Indiana,IN,175,6666818
Iowa,IA,107,3145711
Kansas,KS,99,2913123
Kentucky,KY,165,4454189
Louisiana,LA,173,4684333
Maine,ME,60,1335907
Marshall Islands,MH,2,
Maryland,MD,148,6052177
Massachusetts,MA,261,6859819
Michigan,MI,302,9962311
Minnesota,MN,169,5576606
Mississippi,MS,69,2984100
Missouri,MO,242,6113532
Montana,MT,54,1050493
Nebraska,NE,68,1920076
Nevada,NV,77,2998039
New Hampshire,NH,43,1342795
New Jersey,NJ,207,9005644
New Mexico,NM,61,2088070
New York,NY,632,19849399
North Carolina,NC,188,10273419
North Dakota,ND,30,755393
Northern Mariana Islands,MP,1,
Ohio,OH,386,11658609
Oklahoma,OK,158,3930864
Oregon,OR,125,4142776
Palau,PW,1,
Pennsylvania,PA,544,12805537
Puerto Rico,PR,161,3337177
Rhode Island,RI,37,1059639
South Carolina,SC,97,5024369
South Dakota,SD,33,869666
Tennessee,TN,191,6715984
Texas,TX,506,28304596
Utah,UT,60,3101833
Vermont,VT,32,623657
Virgin Islands,VI,2,
Virginia,VA,222,8470020
Washington,WA,164,7405743
West Virginia,WV,99,1815857
Wisconsin,WI,132,5795483
Wyoming,WY,17,579315
